,Bad Battery,Empty Fuel,Empty Gauge,No Start
0,False,False,True,False
1,False,False,False,False
2,False,False,False,False
3,False,False,False,False
4,True,False,False,True
5,False,False,False,False
6,False,False,False,True
7,False,False,False,False
8,False,False,False,False
9,False,False,False,False
10,False,False,False,False
11,False,False,False,False
12,False,True,True,True
13,False,False,False,False
14,False,False,False,False
15,False,False,False,False
16,False,False,True,False
17,False,True,True,True
18,False,True,True,True
19,False,False,False,True
20,False,True,False,True
21,False,True,False,True
22,False,False,False,True
23,False,False,False,False
24,True,True,True,True
25,False,False,False,False
26,False,True,True,True
27,False,True,True,False
28,False,False,False,False
29,False,False,False,False
30,False,False,False,False
31,False,False,False,False
32,True,False,False,True
33,False,False,False,False
34,False,False,False,False
35,False,False,False,False
36,False,False,False,False
37,False,False,False,False
38,False,False,False,False
39,False,False,False,False
40,False,False,True,False
41,False,True,True,True
42,False,False,False,False
43,False,False,False,False
44,False,False,False,False
45,False,True,False,True
46,False,False,False,False
47,False,False,False,False
48,False,False,True,False
49,False,True,True,True
50,False,False,False,False
51,False,False,True,False
52,False,False,False,False
53,False,False,False,False
54,False,False,True,False
55,False,False,False,False
56,False,True,True,True
57,False,False,True,True
58,False,False,False,True
59,False,False,False,False
60,True,True,True,True
61,False,False,False,False
62,False,False,False,True
63,False,False,False,False
64,False,False,False,False
65,True,False,False,False
66,False,False,False,False
67,False,False,False,True
68,False,False,False,False
69,False,False,False,False
70,False,False,False,False
71,False,False,False,False
72,False,False,False,False
73,False,True,True,True
74,False,False,False,True
75,False,True,False,False
76,False,False,False,True
77,False,False,False,False
78,False,False,False,False
79,False,False,False,False
80,False,False,False,False
81,True,False,False,True
82,False,False,False,False
83,False,False,False,False
84,False,False,False,False
85,False,True,False,True
86,False,True,True,True
87,False,False,False,False
88,False,False,False,False
89,False,False,False,False
90,False,False,False,False
91,False,False,False,True
92,False,False,False,False
93,False,False,False,False
94,False,False,False,False
95,False,True,False,False
96,False,True,True,True
97,False,True,True,True
98,False,False,False,False
99,False,True,True,True
100,False,False,True,False
101,False,False,False,False
102,False,False,False,False
103,False,False,False,False
104,False,False,False,False
105,False,False,False,True
106,True,False,False,True
107,False,False,False,False
108,True,False,True,True
109,False,True,True,True
110,False,True,True,False
111,False,False,False,True
112,False,False,False,False
113,False,False,False,False
114,False,False,False,False
115,False,False,False,False
116,False,False,False,False
117,False,False,False,False
118,True,False,False,True
